activation	batch_size	compound_weighting	concurrent_perm	data_transform	dropout	imputation_method	impute_labels	impute_seed	learning_rate	model_suffix	multitask_strategy	num_layers	num_neurons	num_steps	optimizer	percent_to_delete	prediction_mode	read_parameters	remove_labels	remove_seed	remove_type	restore_network	seed	shuffle_labels	shuffle_seed	target_weighting	Time	1814_precision_Train	1814_precision_Test	1814_recall_Train	1814_recall_Test	1814_fscore_Train	1814_fscore_Test	1814_mcc_Train	1814_mcc_Test	2314_precision_Train	2314_precision_Test	2314_recall_Train	2314_recall_Test	2314_fscore_Train	2314_fscore_Test	2314_mcc_Train	2314_mcc_Test	485346_precision_Train	485346_precision_Test	485346_recall_Train	485346_recall_Test	485346_fscore_Train	485346_fscore_Test	485346_mcc_Train	485346_mcc_Test	504652_precision_Train	504652_precision_Test	504652_recall_Train	504652_recall_Test	504652_fscore_Train	504652_fscore_Test	504652_mcc_Train	504652_mcc_Test	743279_precision_Train	743279_precision_Test	743279_recall_Train	743279_recall_Test	743279_fscore_Train	743279_fscore_Test	743279_mcc_Train	743279_mcc_Test
relu	128	True	1	None	0.1881794691693497	mean	False	1234	0.05	0	all	7	6220	232597	Adagrad	0.0	classification	True	True	1234	compounds	False	123456	False	1234	True	10574.972592830658	0.9994709394600001	0.616636528029	0.999395405079	0.633387508707	0.9994331708419999	0.624899782385	0.9991213546590001	0.421970407813	0.9998597672139999	0.787977572043	0.999766300538	0.8401223411650001	0.999813031691	0.8132149105099999	0.9995613070559999	0.5379148475600001	0.9975334018500001	0.579020013803	0.99876517802	0.519504643963	0.9981489099140001	0.5476501305479999	0.997871571946	0.485193953103	0.999071494893	0.433537832311	0.999257057949	0.243119266055	0.999164267806	0.31153563556200004	0.9990232056489999	0.246727879296	0.9984177215189999	0.5889057750760001	0.999390838207	0.5675576711829999	0.998904042864	0.578034682081	0.9985946615729999	0.46213208250200005
relu	128	True	1	None	0.1881794691693497	mean	False	1234	0.05	1	all	7	6220	232597	Adagrad	0.1	classification	True	True	1234	compounds	False	123456	False	1234	True	10463.96388053894	0.99974916388	0.631164209456	0.999916373976	0.576503366612	0.999832761937	0.6025967722360001	0.999740164921	0.407045037851	1.0	0.794570502431	0.9996892479799999	0.8178784929790001	0.9998445998450001	0.8060560389120001	0.999634155235	0.530621872397	0.9979498861049999	0.595488721805	0.998404740201	0.49040247678000004	0.998177261335	0.537860780985	0.997903013055	0.47930018464199997	0.998554316398	0.4	0.999793217535	0.290137614679	0.99917338293	0.33632436025300005	0.999034354823	0.251683388337	0.999320190347	0.610898254576	0.998912748029	0.525448553643	0.999116427649	0.564960629921	0.998868365387	0.456048731028
relu	128	True	1	None	0.1881794691693497	mean	False	1234	0.05	2	all	7	6220	232597	Adagrad	0.2	classification	True	True	1234	compounds	False	123456	False	1234	True	10344.999884366991	0.9997182040200001	0.618930848455	0.999342723005	0.586022753657	0.999530428249	0.602027429934	0.999269769087	0.400021031699	0.999824837975	0.7882762312630001	0.99953303759	0.8188516613369999	0.999678916489	0.803273099216	0.9992458191019999	0.521045956578	0.998458772155	0.559717314488	0.998458772155	0.49040247678000004	0.998458772155	0.522772277228	0.9982274156350001	0.458150205955	0.9995323825110001	0.39279112754199996	0.9988317757009999	0.24369266055	0.999181956293	0.300778485492	0.999045045653	0.224473804132	0.999393663787	0.607538802661	0.999696739955	0.501647748078	0.9995451788959999	0.549538708383	0.999416060044	0.440942027728
relu	128	True	1	None	0.1881794691693497	mean	False	1234	0.05	3	all	7	6220	232597	Adagrad	0.3	classification	True	True	1234	compounds	False	123456	False	1234	True	10352.566135406494	0.999570907531	0.6160020714660001	0.999463691945	0.5523566287439999	0.999517296862	0.582445831803	0.999249067993	0.38021175751900005	1.0	0.795660532821	0.999799839872	0.805505352426	0.999899909919	0.8005526770290001	0.999764954418	0.522583796958	0.998525943396	0.562166285278	0.9988204069600001	0.456346749226	0.998673153472	0.503759398496	0.9984749954009999	0.44142597880900003	0.999468085106	0.404586404586	0.9989367357790001	0.28325688073399996	0.999202339803	0.333220910624	0.999068087727	0.251140260615	0.999307239349	0.585242718447	0.999307239349	0.551812522885	0.999307239349	0.56803618545	0.999110437381	0.45125433780100005
relu	128	True	1	None	0.1881794691693497	mean	False	1234	0.05	4	all	7	6220	232597	Adagrad	0.4	classification	True	True	1234	compounds	False	123456	False	1234	True	10344.83525800705	0.999625	0.597238204833	0.999625	0.6025075458560001	0.999625	0.599861303745	0.999416231733	0.38625180603500003	0.999688715953	0.776579352851	0.9999221608159999	0.8408174614210001	0.9998054247579999	0.807422735465	0.999542898693	0.519074114198	0.9993117687540001	0.574957410562	0.998624484182	0.417956656347	0.998968008256	0.48404446038000004	0.9988139477240001	0.427461443562	0.9993757802750001	0.38899082568800003	0.9993757802750001	0.243119266055	0.9993757802750001	0.29922371206799997	0.999271428819	0.221989089828	0.999393939394	0.568218298555	1.0	0.518491395093	0.999696877842	0.5422171165999999	0.9996108530619999	0.42147444326
relu	128	True	1	None	0.1881794691693497	mean	False	1234	0.05	5	all	7	6220	232597	Adagrad	0.5	classification	True	True	1234	compounds	False	123456	False	1234	True	10350.414298295977	0.9996987951809999	0.606517509728	0.9996987951809999	0.579057348502	0.9996987951809999	0.59246941442	0.999532156287	0.384163251102	0.9998130142110001	0.777398160315	0.999719547537	0.822466286668	0.999766278689	0.7992974397079999	0.9994516411929999	0.5056263052409999	1.0	0.5747747747749999	0.998773006135	0.395046439628	0.999386126458	0.46825688073399996	0.999293774708	0.414299908921	0.999627837737	0.39068441064599996	0.999627837737	0.23566513761500002	0.999627837737	0.293991416309	0.99956516146	0.21920349391600003	1.0	0.59963099631	0.9997570456749999	0.476016111315	0.9998785080789999	0.530720555215	0.999844100379	0.421736994551
relu	128	True	1	None	0.1881794691693497	mean	False	1234	0.05	6	all	7	6220	232597	Adagrad	0.6	classification	True	True	1234	compounds	False	123456	False	1234	True	10358.242927074432	1.0	0.600198906017	0.999812734082	0.560482934757	0.999906358273	0.57966142394	0.9998541468619999	0.368712574176	1.0	0.766305041481	1.0	0.83470040317	1.0	0.799041788661	1.0	0.49612024167400004	1.0	0.530190239868	1.0	0.396904024768	1.0	0.45396600566600004	1.0	0.390757374397	0.9995280792829999	0.35899653979199997	0.9995280792829999	0.237958715596	0.9995280792829999	0.286206896552	0.999449923753	0.20162435827999997	1.0	0.580631214872	1.0	0.491761259612	1.0	0.532513877875	1.0	0.416781408684
relu	128	True	1	None	0.1881794691693497	mean	False	1234	0.05	7	all	7	6220	232597	Adagrad	0.7	classification	True	True	1234	compounds	False	123456	False	1234	True	10349.179441213608	0.999502116007	0.582495709733	1.0	0.5516600882280001	0.999750996016	0.5666587169089999	0.999611581995	0.346579551466	0.9998456313680001	0.7682308592229999	1.0	0.821632142361	0.999922809726	0.794034663442	0.9998166130539999	0.489148838583	1.0	0.510756972112	1.0	0.396904024768	1.0	0.44668989547	1.0	0.37957079813100003	1.0	0.38224852071000004	1.0	0.185206422018	1.0	0.249517188104	1.0	0.18813396945099997	1.0	0.541615416154	1.0	0.48370560234300003	1.0	0.511025145068	1.0	0.384115054048
relu	128	True	1	None	0.1881794691693497	mean	False	1234	0.05	8	all	7	6220	232597	Adagrad	0.8	classification	True	True	1234	compounds	False	123456	False	1234	True	10344.665198087692	1.0	0.558361942128	1.0	0.528674251219	1.0	0.5431127012520001	1.0	0.311076068399	1.0	0.767224080268	1.0	0.797302933407	1.0	0.781974365967	1.0	0.46893556468	1.0	0.523955147808	1.0	0.31826625386999996	1.0	0.395993836672	1.0	0.343037426272	1.0	0.354503464203	1.0	0.17603211009199998	1.0	0.235249042146	1.0	0.168768499078	0.999365482234	0.526793075021	1.0	0.467960454046	0.9996826404320001	0.49563699825499996	0.999597709035	0.365211847032
relu	128	True	1	None	0.1881794691693497	mean	False	1234	0.05	9	all	7	6220	232597	Adagrad	0.9	classification	True	True	1234	compounds	False	123456	False	1234	True	10317.848291635511	1.0	0.542377260982	1.0	0.48734618063600005	1.0	0.513391219274	1.0	0.276746759106	1.0	0.7348878469140001	1.0	0.8062004726819999	1.0	0.7688941925220001	1.0	0.41704872404	1.0	0.464751958225	1.0	0.220433436533	1.0	0.29903401931999996	1.0	0.255193425693	1.0	0.328431372549	1.0	0.153669724771	1.0	0.209375	1.0	0.143572257058	1.0	0.495594713656	1.0	0.411937019407	1.0	0.449910017996	1.0	0.314934987221
