burnin	compound_weighting	data_transform	imputation_method	impute_labels	impute_seed	lambda_beta	model_suffix	multitask_strategy	nsamples	num_latent	percent_to_delete	precision	prediction_mode	read_parameters	remove_labels	remove_seed	remove_type	seed	shuffle_labels	shuffle_seed	sn_max	target_weighting	tol	univariate	Time	1814_precision_Train	1814_precision_Test	1814_recall_Train	1814_recall_Test	1814_fscore_Train	1814_fscore_Test	1814_mcc_Train	1814_mcc_Test	2314_precision_Train	2314_precision_Test	2314_recall_Train	2314_recall_Test	2314_fscore_Train	2314_fscore_Test	2314_mcc_Train	2314_mcc_Test	2796_precision_Train	2796_precision_Test	2796_recall_Train	2796_recall_Test	2796_fscore_Train	2796_fscore_Test	2796_mcc_Train	2796_mcc_Test	463190_precision_Train	463190_precision_Test	463190_recall_Train	463190_recall_Test	463190_fscore_Train	463190_fscore_Test	463190_mcc_Train	463190_mcc_Test	485346_precision_Train	485346_precision_Test	485346_recall_Train	485346_recall_Test	485346_fscore_Train	485346_fscore_Test	485346_mcc_Train	485346_mcc_Test	504652_precision_Train	504652_precision_Test	504652_recall_Train	504652_recall_Test	504652_fscore_Train	504652_fscore_Test	504652_mcc_Train	504652_mcc_Test	588726_precision_Train	588726_precision_Test	588726_recall_Train	588726_recall_Test	588726_fscore_Train	588726_fscore_Test	588726_mcc_Train	588726_mcc_Test	652054_precision_Train	652054_precision_Test	652054_recall_Train	652054_recall_Test	652054_fscore_Train	652054_fscore_Test	652054_mcc_Train	652054_mcc_Test	687014_precision_Train	687014_precision_Test	687014_recall_Train	687014_recall_Test	687014_fscore_Train	687014_fscore_Test	687014_mcc_Train	687014_mcc_Test	743279_precision_Train	743279_precision_Test	743279_recall_Train	743279_recall_Test	743279_fscore_Train	743279_fscore_Test	743279_mcc_Train	743279_mcc_Test
848	True	None	mean	False	1234	5.0	0	all	1453	69	0.0	adaptive	classification	True	True	1234	compounds	123456	False	1234	10.0	True	1e-06	0	24579.557683944702	1.0	0.624324324324	1.0	0.283366045142	1.0	0.389807627405	1.0	0.288831250973	1.0	0.710379300206	1.0	0.7278204548880001	1.0	0.7189941224609999	1.0	0.46747172158999994	1.0	0.75	1.0	0.006271777003479999	1.0	0.012439530062200001	1.0	0.06262656549380001	1.0	1.0	1.0	0.00178094390027	1.0	0.0035555555555599997	1.0	0.040503793415300006	1.0	0.7272727272730001	1.0	0.012084592145	1.0	0.023774145616599997	1.0	0.08590855225810001	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.8591065292100001	1.0	0.20112630732099998	1.0	0.325945241199	1.0	0.394924252496	1.0	0.7161572052399999	1.0	0.127725856698	1.0	0.21678783873100002	1.0	0.279380983028	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.6745283018870001	1.0	0.0598827470687	1.0	0.11	1.0	0.166730572764
848	True	None	mean	False	1234	5.0	1	all	1453	69	0.1	adaptive	classification	True	True	1234	compounds	123456	False	1234	10.0	True	1e-06	0	24007.77251219749	1.0	0.618211738892	1.0	0.27649656526	1.0	0.38209866079000004	1.0	0.281220120081	1.0	0.710417892878	1.0	0.727217954511	1.0	0.7187197618160001	1.0	0.467150715026	1.0	0.846153846154	1.0	0.007665505226479999	1.0	0.0151933701657	1.0	0.07484226714610001	1.0	1.0	1.0	0.00178094390027	1.0	0.0035555555555599997	1.0	0.040503793415300006	1.0	0.8	1.0	0.012084592145	1.0	0.0238095238095	1.0	0.0912975449859	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.004253257724389999	1.0	0.855704697987	1.0	0.20514883346700002	1.0	0.330953926022	1.0	0.397984266252	1.0	0.714953271028	1.0	0.11915887850500001	1.0	0.204272363151	1.0	0.269412131264	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.656565656566	1.0	0.0544388609715	1.0	0.100541376643	1.0	0.155340787102
848	True	None	mean	False	1234	5.0	2	all	1453	69	0.2	adaptive	classification	True	True	1234	compounds	123456	False	1234	10.0	True	1e-06	0	23434.987550020214	1.0	0.619394618834	1.0	0.271099116781	1.0	0.377133105802	1.0	0.278750006385	1.0	0.711949314867	1.0	0.7278204548880001	1.0	0.719797408014	1.0	0.469491299105	1.0	0.8	1.0	0.00557491289199	1.0	0.0110726643599	1.0	0.0615693782679	1.0	1.0	1.0	0.00178094390027	1.0	0.0035555555555599997	1.0	0.040503793415300006	1.0	0.8095238095239999	1.0	0.012839879154100002	1.0	0.025278810408900003	1.0	0.0948158569818	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.004253257724389999	1.0	0.869863013699	1.0	0.204344328238	1.0	0.330944625407	1.0	0.401130714441	1.0	0.710144927536	1.0	0.114485981308	1.0	0.197183098592	1.0	0.262864003204	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.641025641026	1.0	0.0523450586265	1.0	0.0967866821525	1.0	0.149241127438
848	True	None	mean	False	1234	5.0	3	all	1453	69	0.3	adaptive	classification	True	True	1234	compounds	123456	False	1234	10.0	True	1e-06	0	22541.545758485798	1.0	0.623595505618	1.0	0.272325809617	1.0	0.379098360656	1.0	0.281906508334	1.0	0.710545777252	1.0	0.723602952252	1.0	0.717014925373	1.0	0.465096197568	1.0	0.833333333333	1.0	0.00696864111498	1.0	0.0138217000691	1.0	0.0706666572105	1.0	1.0	1.0	0.00178094390027	1.0	0.0035555555555599997	1.0	0.040503793415300006	1.0	0.722222222222	1.0	0.00981873111782	1.0	0.0193740685544	1.0	0.077077511403	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0030074016428600003	1.0	0.871527777778	1.0	0.20193081254999998	1.0	0.327890267799	1.0	0.39916403889700003	1.0	0.7149758454109999	1.0	0.115264797508	1.0	0.198524480215	1.0	0.264912621866	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.607329842932	1.0	0.0485762144054	1.0	0.08995734780919999	1.0	0.137163721137
848	True	None	mean	False	1234	5.0	4	all	1453	69	0.4	adaptive	classification	True	True	1234	compounds	123456	False	1234	10.0	True	1e-06	0	21832.02425932884	1.0	0.621545403271	1.0	0.270363101079	1.0	0.376816549838	1.0	0.27956154374000003	1.0	0.712740740741	1.0	0.7246573279109999	1.0	0.718649637762	1.0	0.46855694931999997	1.0	0.8181818181820001	1.0	0.006271777003479999	1.0	0.0124481327801	1.0	0.0662562417887	1.0	1.0	1.0	0.00178094390027	1.0	0.0035555555555599997	1.0	0.040503793415300006	1.0	0.777777777778	1.0	0.0105740181269	1.0	0.0208643815201	1.0	0.0838838307899	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.004253257724389999	1.0	0.8656716417910001	1.0	0.18664521319400001	1.0	0.307081403044	1.0	0.381905155503	1.0	0.696832579186	1.0	0.119937694704	1.0	0.204651162791	1.0	0.26590746858000003	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.6042780748659999	1.0	0.0473199329983	1.0	0.0877669902913	1.0	0.13475810061
848	True	None	mean	False	1234	5.0	5	all	1453	69	0.5	adaptive	classification	True	True	1234	compounds	123456	False	1234	10.0	True	1e-06	0	22100.66577649116	1.0	0.620172910663	1.0	0.263984298332	1.0	0.370332128721	1.0	0.274996965707	1.0	0.710220500596	1.0	0.718029823769	1.0	0.714103812449	1.0	0.46127735683999993	1.0	0.833333333333	1.0	0.00696864111498	1.0	0.0138217000691	1.0	0.0706666572105	1.0	1.0	1.0	0.0008904719501339999	1.0	0.0017793594306	1.0	0.028639500061499998	1.0	0.791666666667	1.0	0.014350453172200002	1.0	0.0281899109792	1.0	0.0988463976356	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0030074016428600003	1.0	0.8679245283020001	1.0	0.185036202735	1.0	0.305039787798	1.0	0.380819978015	1.0	0.699507389163	1.0	0.11059190031199999	1.0	0.190988567586	1.0	0.255808164753	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.6	1.0	0.041457286432199994	1.0	0.0775558166863	1.0	0.12524411646199998
848	True	None	mean	False	1234	5.0	6	all	1453	69	0.6	adaptive	classification	True	True	1234	compounds	123456	False	1234	10.0	True	1e-06	0	21487.95646429062	1.0	0.622980251346	1.0	0.255397448479	1.0	0.362275970071	1.0	0.27145374966999997	1.0	0.708345797188	1.0	0.7133604458499999	1.0	0.7108442776739999	1.0	0.45604909130800003	1.0	0.777777777778	1.0	0.00487804878049	1.0	0.009695290858729999	1.0	0.0565512024482	1.0	1.0	1.0	0.0008904719501339999	1.0	0.0017793594306	1.0	0.028639500061499998	1.0	0.714285714286	1.0	0.0151057401813	1.0	0.0295857988166	1.0	0.09495326474760002	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.871244635193	1.0	0.16331456154500001	1.0	0.275067750678	1.0	0.358196144349	1.0	0.682291666667	1.0	0.102024922118	1.0	0.177506775068	1.0	0.241656017422	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.622516556291	1.0	0.0393634840871	1.0	0.07404489956680001	1.0	0.12599361207499998
848	True	None	mean	False	1234	5.0	7	all	1453	69	0.7	adaptive	classification	True	True	1234	compounds	123456	False	1234	10.0	True	1e-06	0	20871.056729316708	1.0	0.629722921914	1.0	0.24533856722300001	1.0	0.353107344633	1.0	0.269042194032	1.0	0.704350444076	1.0	0.704774815484	1.0	0.704562565879	1.0	0.44579190816200004	1.0	0.666666666667	1.0	0.00278745644599	1.0	0.00555170020819	1.0	0.0385903200548	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.529411764706	1.0	0.00679758308157	1.0	0.0134228187919	1.0	0.051947656878199994	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.890547263682	1.0	0.144006436042	1.0	0.24792243767299998	1.0	0.340494389445	1.0	0.677419354839	1.0	0.0981308411215	1.0	0.171428571429	1.0	0.235842235268	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.6258503401359999	1.0	0.0385259631491	1.0	0.07258382643	1.0	0.12520743604499998
848	True	None	mean	False	1234	5.0	8	all	1453	69	0.8	adaptive	classification	True	True	1234	compounds	123456	False	1234	10.0	True	1e-06	0	20038.79775166512	1.0	0.634514435696	1.0	0.23724239450399998	1.0	0.34535714285700003	1.0	0.266570954604	1.0	0.70134529148	1.0	0.706732941708	1.0	0.7040288093629999	1.0	0.443083005755	1.0	1.0	1.0	0.000696864111498	1.0	0.0013927576601700002	1.0	0.0250319697961	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.666666666667	1.0	0.009063444108760001	1.0	0.0178837555887	1.0	0.0702711920162	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.895424836601	1.0	0.11021721641200001	1.0	0.196275071633	1.0	0.298363082134	1.0	0.625	1.0	0.0973520249221	1.0	0.16846361186	1.0	0.22283443054000002	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.5430463576160001	1.0	0.034338358459000004	1.0	0.0645923591965	1.0	0.10396917703900001
848	True	None	mean	False	1234	5.0	9	all	1453	69	0.9	adaptive	classification	True	True	1234	compounds	123456	False	1234	10.0	True	1e-06	0	18350.086869716644	1.0	0.618125484121	1.0	0.195780176644	1.0	0.297372833985	1.0	0.23167608211	1.0	0.6869314736200001	1.0	0.682482301551	1.0	0.684699659992	1.0	0.410371712613	1.0	1.0	1.0	0.000696864111498	1.0	0.0013927576601700002	1.0	0.0250319697961	1.0	1.0	1.0	0.0008904719501339999	1.0	0.0017793594306	1.0	0.028639500061499998	1.0	0.6	1.0	0.0022658610271900003	1.0	0.00451467268623	1.0	0.0327165085903	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.893617021277	1.0	0.0337892196299	1.0	0.0651162790698	1.0	0.16437878095699998	1.0	0.654545454545	1.0	0.056074766355099996	1.0	0.103299856528	1.0	0.17383263524999998	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.52	1.0	0.021775544388599997	1.0	0.0418006430868	1.0	0.07926766758510001
