allow_restart	bootstrap	class_weight	criterion	data_transform	imputation_method	impute_labels	impute_seed	learning_rate	max_depth	max_features	min_impurity_split	min_samples_leaf	min_smaples_split	min_weight_fraction_leaf	model_suffix	n_estimators	n_jobs	oob_score	optimizer	percent_to_delete	prediction_mode	random_state	read_parameters	remove_labels	remove_seed	remove_type	restore_forest	sample_weight	seed	shuffle_labels	shuffle_seed	Time	1814_precision_Train	1814_precision_Test	1814_recall_Train	1814_recall_Test	1814_fscore_Train	1814_fscore_Test	1814_mcc_Train	1814_mcc_Test	2314_precision_Train	2314_precision_Test	2314_recall_Train	2314_recall_Test	2314_fscore_Train	2314_fscore_Test	2314_mcc_Train	2314_mcc_Test	2796_precision_Train	2796_precision_Test	2796_recall_Train	2796_recall_Test	2796_fscore_Train	2796_fscore_Test	2796_mcc_Train	2796_mcc_Test	463190_precision_Train	463190_precision_Test	463190_recall_Train	463190_recall_Test	463190_fscore_Train	463190_fscore_Test	463190_mcc_Train	463190_mcc_Test	485346_precision_Train	485346_precision_Test	485346_recall_Train	485346_recall_Test	485346_fscore_Train	485346_fscore_Test	485346_mcc_Train	485346_mcc_Test	504652_precision_Train	504652_precision_Test	504652_recall_Train	504652_recall_Test	504652_fscore_Train	504652_fscore_Test	504652_mcc_Train	504652_mcc_Test	588726_precision_Train	588726_precision_Test	588726_recall_Train	588726_recall_Test	588726_fscore_Train	588726_fscore_Test	588726_mcc_Train	588726_mcc_Test	652054_precision_Train	652054_precision_Test	652054_recall_Train	652054_recall_Test	652054_fscore_Train	652054_fscore_Test	652054_mcc_Train	652054_mcc_Test	687014_precision_Train	687014_precision_Test	687014_recall_Train	687014_recall_Test	687014_fscore_Train	687014_fscore_Test	687014_mcc_Train	687014_mcc_Test	743279_precision_Train	743279_precision_Test	743279_recall_Train	743279_recall_Test	743279_fscore_Train	743279_fscore_Test	743279_mcc_Train	743279_mcc_Test
False	False	None	gini	None	mean	False	1234	0.05	None	sqrt	1e-07	1	2	0.0	0	740	7	False	Adagrad	0.0	classification	1234	True	True	1234	compounds	False	None	123456	False	1234	139.65416359901428	1.0	0.704857248795	0.9993353273510001	0.46638861628999995	0.9996675531910001	0.561346522959	0.999537099264	0.44747903869499994	1.0	0.762602579132	0.9993389942540001	0.7838529899079999	0.999669387859	0.773081779692	0.999387071465	0.569450869684	1.0	0.721448467967	0.998065296252	0.18048780487799998	0.9990317114499999	0.288740245262	0.998928491964	0.331548874451	1.0	0.554913294798	0.998797354179	0.08548530721280001	0.999398315283	0.148148148148	0.9993476956730001	0.195847483548	1.0	0.7418397626109999	0.99902605308	0.18882175226599998	0.9995127892810001	0.30102347983100003	0.999461072676	0.347835317135	1.0	0.4039408867	0.9981447124299998	0.0505860579889	0.999071494893	0.0899122807018	0.998953066244	0.109801400582	1.0	0.894890510949	0.9997362173569999	0.49316170555100003	0.999868091281	0.635892116183	0.9998552411799999	0.643172058091	1.0	0.7758985200849999	0.9992002132760001	0.285825545171	0.9995999466600001	0.417757541264	0.999561501715	0.443733726284	1.0	0.563025210084	0.998447687054	0.121929026388	0.99922324064	0.200448765894	0.999160222741	0.237320179546	1.0	0.719827586207	0.998580553584	0.20979899497499999	0.9992897727269999	0.324902723735	0.999149799112	0.334948626144
False	False	None	gini	None	mean	False	1234	0.05	None	sqrt	1e-07	1	2	0.0	1	740	7	False	Adagrad	0.1	classification	1234	True	True	1234	compounds	False	None	123456	False	1234	124.10203385353088	1.0	0.7040358744390001	0.999538276849	0.462217860648	0.999769085115	0.558056872038	0.999678476623	0.444453510102	1.0	0.757972913936	0.999548812814	0.784003615002	0.999774355503	0.770768547312	0.999580972938	0.5639432870809999	1.0	0.722222222222	0.998115746972	0.18118466899	0.999056985046	0.289693593315	0.998956637273	0.33243628483800003	1.0	0.553459119497	0.999330879893	0.07836153161180001	0.9996653279790001	0.13728549142000002	0.99963715639	0.187089029541	1.0	0.739811912226	0.998913043478	0.178247734139	0.9994562262100001	0.287279367012	0.9993988098919999	0.33714221395300004	1.0	0.358585858586	0.998614958449	0.0438001233806	0.9993069993070001	0.0780648708081	0.9992192578799999	0.091462938225	1.0	0.892307692308	1.0	0.466613032985	1.0	0.612783940835	1.0	0.6237155230179999	1.0	0.77874186551	0.999114521842	0.27959501557599997	0.999557064816	0.41146131805200004	0.999514344584	0.43969369978100004	1.0	0.577777777778	0.9982602644399999	0.118289353958	0.999129374891	0.19637462235599998	0.999059455178	0.237645191941	1.0	0.721238938053	0.9987447042209999	0.204773869347	0.999371957921	0.318982387476	0.99924736998	0.331214082154
False	False	None	gini	None	mean	False	1234	0.05	None	sqrt	1e-07	1	2	0.0	2	740	7	False	Adagrad	0.2	classification	1234	True	True	1234	compounds	False	None	123456	False	1234	109.19680547714232	1.0	0.6984732824429999	0.999585062241	0.44896957801799997	0.9997924880679999	0.546594982079	0.999710887216	0.432870039353	1.0	0.754273192111	0.9994927720010001	0.777677361048	0.999746321664	0.7657964995550001	0.9995286508840001	0.5550561864019999	1.0	0.6835820895520001	0.997882637629	0.15958188153300001	0.998940196821	0.258757062147	0.998827367913	0.300471608096	1.0	0.548611111111	0.999247271359	0.07034728406060001	0.9996234939759999	0.12470402525699999	0.9995918100799999	0.176132502548	1.0	0.739549839228	0.999087591241	0.173716012085	0.999543587403	0.281345565749	0.999495090151	0.33265729883699996	1.0	0.362244897959	0.998959687906	0.0438001233806	0.99947957325	0.0781507980187	0.999413721099	0.09235445236510001	1.0	0.8956661316210001	1.0	0.44891391794	1.0	0.59807073955	1.0	0.612562853752	1.0	0.77027027027	0.999334664005	0.266355140187	0.9996672212980001	0.395833333333	0.9996351645010001	0.425937649657	1.0	0.5350877192979999	0.998052201013	0.11101000909900001	0.9990251511020001	0.18387339864399999	0.9989465182449999	0.218843458856	1.0	0.709828393136	0.9987604037540001	0.1905360134	0.999379817489	0.30042918454900003	0.9992572497299999	0.314978800243
False	False	None	gini	None	mean	False	1234	0.05	None	sqrt	1e-07	1	2	0.0	3	740	7	False	Adagrad	0.3	classification	1234	True	True	1234	compounds	False	None	123456	False	1234	98.41652774810792	1.0	0.691699604743	0.999642559276	0.42934249263999996	0.999821247691	0.529821374508	0.999751434804	0.41676179403999997	1.0	0.7523726091399999	0.9995649336519999	0.776171110107	0.9997824194949999	0.764086595492	0.9995959339820001	0.5516974425360001	1.0	0.676829268293	0.99827705031	0.154703832753	0.999137782376	0.25184344866700004	0.999045537209	0.293796136568	1.0	0.563492063492	0.9995735607680001	0.0632235084595	0.999786734911	0.113690952762	0.9997685953919999	0.169868619797	1.0	0.719858156028	0.9993069993070001	0.15332326284000003	0.9996533795489999	0.252801992528	0.99961639276	0.306799494024	1.0	0.346368715084	0.998805970149	0.038247995064800006	0.999402628435	0.06888888888889999	0.999327439852	0.0825646561165	1.0	0.900169204738	1.0	0.427996781979	1.0	0.580152671756	1.0	0.599242876459	1.0	0.787234042553	0.99962006079	0.259345794393	0.9998099943000001	0.390158172232	0.999791658285	0.425789964402	1.0	0.526315789474	0.997778764993	0.100090991811	0.998888147654	0.16819571865400001	0.9987983539920001	0.20537270827999998	1.0	0.7123050259970001	0.998783208274	0.172110552764	0.9993912337659999	0.277234401349	0.9992712106939999	0.299501916419
False	False	None	gini	None	mean	False	1234	0.05	None	sqrt	1e-07	1	2	0.0	4	740	7	False	Adagrad	0.4	classification	1234	True	True	1234	compounds	False	None	123456	False	1234	82.95081567764281	1.0	0.6925311203319999	0.999860704834	0.40947006869499997	0.9999303475660001	0.514646931853	0.9999032115250001	0.405517417285	1.0	0.744246634824	0.999662162162	0.7745142340710001	0.999831052543	0.759078830824	0.999685784761	0.540546317254	1.0	0.674267100977	0.998388396454	0.14425087107999998	0.9991935483869999	0.23765786452399998	0.999107445327	0.28275744990400004	1.0	0.541666666667	0.999499499499	0.0578806767587	0.9997496871089999	0.104585679807	0.9997285406559999	0.158273965594	1.0	0.7349397590360001	0.9995951417	0.138217522659	0.999797529864	0.23267641449499998	0.9997759394210001	0.29487828355	1.0	0.321212121212	0.9993004547040001	0.0326958667489	0.9996501049690001	0.059350503919400006	0.9996062129359999	0.07065412224449999	1.0	0.906934306569	1.0	0.39983909895400005	1.0	0.554997208264	1.0	0.580918771475	1.0	0.778588807786	0.999558108705	0.249221183801	0.999779005525	0.37758112094400004	0.999757611075	0.414320689841	1.0	0.545918367347	0.997924234561	0.0973612374886	0.998961038961	0.165250965251	0.998877195675	0.20746876844099998	1.0	0.7123552123549999	0.999291282778	0.154522613065	0.999645515775	0.253957329663	0.999575412422	0.28319121459
False	False	None	gini	None	mean	False	1234	0.05	None	sqrt	1e-07	1	2	0.0	5	740	7	False	Adagrad	0.5	classification	1234	True	True	1234	compounds	False	None	123456	False	1234	68.11560034751892	1.0	0.690644307149	1.0	0.383954857704	1.0	0.49353516240900003	1.0	0.38902426001400003	1.0	0.740144927536	0.999796685981	0.769242355776	0.9998983326559999	0.754413176749	0.999811386361	0.531881481502	1.0	0.692307692308	0.99951243296	0.12543554007000002	0.999756157035	0.212389380531	0.999730265856	0.267949788658	1.0	0.514018691589	0.9994040524429999	0.0489759572573	0.9997019374070001	0.0894308943089	0.9996765541339999	0.14046009957699998	1.0	0.760869565217	1.0	0.132175226586	1.0	0.22522522522500002	1.0	0.294653561	1.0	0.346153846154	0.9991586032809999	0.0333127698951	0.999579124579	0.060776589758	0.999526491297	0.07694367134439999	1.0	0.9074446680079999	1.0	0.362831858407	1.0	0.518390804598	1.0	0.552542087773	1.0	0.8100263852240001	0.999473684211	0.23909657320900002	0.999736772835	0.36921226698700005	0.9997110884520001	0.415555341003	1.0	0.468085106383	0.998761609907	0.08007279344860001	0.9993804213140001	0.13675213675200001	0.999329938458	0.169396404231	1.0	0.706382978723	0.999719101124	0.139028475712	0.9998595308329999	0.23233030090999998	0.99983141644	0.266326553937
False	False	None	gini	None	mean	False	1234	0.05	None	sqrt	1e-07	1	2	0.0	6	740	7	False	Adagrad	0.6	classification	1234	True	True	1234	compounds	False	None	123456	False	1234	54.6891257762909	1.0	0.694317140238	1.0	0.37168792934199996	1.0	0.48418024928099995	1.0	0.38386958847499997	1.0	0.7351138353769999	0.999746289484	0.758698599187	0.999873128648	0.746720035579	0.9997642951189999	0.518576678817	1.0	0.681222707424	0.999394673123	0.108710801394	0.999697244929	0.1875	0.999664868306	0.24648223023899998	1.0	0.45454545454499995	0.9992537313429999	0.0356188780053	0.9996267263899999	0.0660611065235	0.9995950189730001	0.10989344482	1.0	0.747524752475	1.0	0.114048338369	1.0	0.197903014417	1.0	0.270347669149	1.0	0.322314049587	0.999469214437	0.024059222702	0.999734536767	0.044776119403	0.99970165296	0.06073131835659999	1.0	0.905494505495	1.0	0.331456154465	1.0	0.48527679623099995	1.0	0.526617651089	1.0	0.787061994609	0.999332888592	0.227414330218	0.999666333	0.352870090634	0.999634285808	0.397913132676	1.0	0.506578947368	0.998468606432	0.07006369426749999	0.9992337164749999	0.123101518785	0.9991706207500001	0.167104945299	1.0	0.692134831461	1.0	0.128978224456	1.0	0.21743734556999997	1.0	0.252060698248
False	False	None	gini	None	mean	False	1234	0.05	None	sqrt	1e-07	1	2	0.0	7	740	7	False	Adagrad	0.7	classification	1234	True	True	1234	compounds	False	None	123456	False	1234	41.563976526260376	1.0	0.68606870229	1.0	0.352796859666	1.0	0.46597537265100003	1.0	0.367308377747	1.0	0.729166666667	0.9998311666390001	0.7538785961740001	0.9999155761920001	0.741316744427	0.999842898267	0.507940803147	1.0	0.68085106383	0.999182338512	0.08919860627180001	0.9995910020450001	0.15773259396199998	0.9995479207539999	0.22286060908799998	1.0	0.460526315789	1.0	0.0311665182547	1.0	0.0583819849875	1.0	0.103708458668	1.0	0.7577639751549999	1.0	0.09214501510569999	1.0	0.16430976431	1.0	0.244775608005	1.0	0.38202247191	0.9992737835879999	0.020974706971	0.999636759898	0.039766081871300006	0.999593077106	0.0669363007169	1.0	0.909090909091	1.0	0.305711987128	1.0	0.457555689344	1.0	0.506290838653	1.0	0.7902735562309999	0.999103139013	0.202492211838	0.999551368327	0.322380657161	0.999508704612	0.375871133021	1.0	0.453781512605	0.9979654120039999	0.049135577798	0.998981670061	0.0886699507389	0.998897668196	0.129521168345	1.0	0.680672268908	1.0	0.10175879397	1.0	0.177049180328	1.0	0.22012807773899998
False	False	None	gini	None	mean	False	1234	0.05	None	sqrt	1e-07	1	2	0.0	8	740	7	False	Adagrad	0.8	classification	1234	True	True	1234	compounds	False	None	123456	False	1234	28.39433622360229	1.0	0.668550873587	1.0	0.319185475957	1.0	0.43208236466300004	1.0	0.336327993011	1.0	0.713908450704	0.999746386001	0.7329417080889999	0.9998731769179999	0.7232998885169999	0.999764307822	0.475180438408	1.0	0.730769230769	1.0	0.0662020905923	1.0	0.121405750799	1.0	0.200858017155	1.0	0.5	1.0	0.026714158504	1.0	0.050718512257000005	1.0	0.101622652291	1.0	0.661417322835	1.0	0.06344410876130001	1.0	0.115782219159	1.0	0.185661849001	1.0	0.375	1.0	0.0185070943862	1.0	0.035273368606699995	1.0	0.0617794535446	1.0	0.90861618799	1.0	0.279967819791	1.0	0.42804428044299997	1.0	0.483738325497	1.0	0.8	0.9986357435200002	0.168224299065	0.999317406143	0.277992277992	0.999253594497	0.344505156485	1.0	0.492957746479	0.996774193548	0.031847133758	0.9983844911149999	0.0598290598291	0.9982596634659999	0.11026750893899999	1.0	0.660899653979	1.0	0.0799832495812	1.0	0.14269704893500001	1.0	0.189954739146
False	False	None	gini	None	mean	False	1234	0.05	None	sqrt	1e-07	1	2	0.0	9	740	7	False	Adagrad	0.9	classification	1234	True	True	1234	compounds	False	None	123456	False	1234	16.819116353988647	1.0	0.652579241765	1.0	0.25760549558400003	1.0	0.369393139842	1.0	0.289094192576	1.0	0.689825253664	0.9994982438529999	0.737309835819	0.999749058971	0.712777575537	0.999529341223	0.44610671260300006	1.0	0.696202531646	1.0	0.0383275261324	1.0	0.07265521796569999	1.0	0.14771828679000001	1.0	0.41176470588200004	1.0	0.012466607301900001	1.0	0.0242005185825	1.0	0.0604119867065	1.0	0.666666666667	1.0	0.0347432024169	1.0	0.0660445082556	1.0	0.137830914216	1.0	0.327586206897	1.0	0.0117211597779	1.0	0.0226325193568	1.0	0.0430149280817	1.0	0.9156118143459999	1.0	0.174577634755	1.0	0.293243243243	1.0	0.381760031132	1.0	0.779661016949	0.9972677595630001	0.107476635514	0.998632010944	0.18891170431200002	0.9985049729200001	0.270041359621	1.0	0.458333333333	0.993377483444	0.0200181983621	0.9966777408640001	0.0383609415867	0.9964319660330001	0.0830455562192	1.0	0.608974358974	1.0	0.0397822445561	1.0	0.0746855345912	1.0	0.124269963719
